ID,EDUC,PAEDUC,MAEDUC,SPEDUC
1024,12,12,12,
1025,15,,13,
1027,11,,,
1029,12,,16,
1030,8,,14,
1032,10,13,,14
1033,13,,,
1035,13,8,,
1041,12,,18,
1043,16,16,16,16
1044,12,,12,
1047,16,14,15,15
1048,11,8,8,
1050,12,,14,
1051,13,5,2,
1053,13,3,3,12
1054,12,6,12,12
1055,19,19,16,16
1056,14,12,8,12
1057,13,12,11,
1059,12,16,14,12
1060,16,16,18,16
1063,15,7,7,
1065,14,12,12,9
1066,6,0,6,10
1069,16,14,12,
1070,14,12,13,
1075,17,10,10,17
1076,12,12,10,
1079,12,9,8,12
1080,12,16,14,
1083,13,17,12,
1084,9,6,8,8
1087,12,12,12,12
1091,12,12,12,15
1093,10,,8,
1094,13,12,12,12
1095,11,5,10,
1098,10,,,12
1099,18,,12,
1100,11,,,
1102,10,,5,
1105,12,12,12,12
1109,16,12,8,
1110,14,14,12,14
1111,14,8,12,
1113,14,6,12,
1114,10,4,6,
1118,12,14,12,
1119,11,,,10
1120,14,14,13,12
1121,16,12,8,12
1123,12,12,,12
1126,15,12,12,12
1129,13,8,8,13
1130,15,3,,
1131,15,12,,2
1132,12,12,,12
1134,12,,,
1137,13,,12,16
1139,12,12,12,
1140,16,16,12,14
1141,12,8,8,16
1143,12,7,7,12
1147,14,6,14,
1149,8,,,
1150,16,12,12,
1151,,,6,
1152,12,11,12,
1153,14,16,12,
1154,16,12,12,
1158,12,12,12,
1160,12,,6,12
1164,12,,12,12
1165,12,,11,
1166,12,6,6,
1167,6,,,2
1171,15,12,13,14
1173,14,12,12,15
1174,14,6,12,14
1175,14,,12,
1178,16,12,,16
1179,17,16,16,14
1181,14,,12,
1184,12,8,13,14
1185,13,4,,14
1186,12,12,12,
1188,13,,14,
1189,12,12,12,
1193,13,,,14
1194,12,14,12,13
1195,11,,,
1196,12,12,11,
1197,12,,11,13
1200,14,11,10,
1201,13,,,
1205,18,8,12,
1209,7,,,
1210,12,,6,
1213,8,,,
1215,12,12,,
1216,12,0,0,11
1219,12,,7,12
1221,12,12,12,12
1222,12,,8,
1223,16,11,12,13
1226,11,16,12,
1228,14,12,12,14
1233,12,12,12,12
1234,13,12,12,13
1235,14,8,8,16
1236,14,14,12,18
1238,12,,,
1239,9,,,11
1240,11,11,9,11
1242,15,12,,
1245,15,11,12,
1246,16,16,12,
1248,12,8,12,
1249,16,18,17,
1251,19,19,16,
1253,12,12,11,12
1254,16,10,9,
1260,12,6,12,12
1262,11,16,12,11
1263,13,13,12,12
1264,12,11,12,12
1268,15,16,12,16
1270,12,8,12,12
1271,12,8,12,16
1272,12,,11,16
1275,12,12,12,12
1279,20,,12,12
1280,13,,,
1283,20,12,4,16
1284,18,16,18,20
1286,14,18,16,
1287,16,,13,
1288,13,8,12,12
1289,16,16,16,16
1291,12,,6,
1292,13,12,8,12
1293,14,12,13,
1298,12,,12,16
1300,12,,,14
1306,12,12,12,
1307,12,12,14,12
1310,14,,14,
1311,12,,14,
1313,12,16,14,18
1314,13,12,12,2
1315,9,16,10,
1320,12,,6,10
1321,12,13,7,9
1322,13,12,12,
1325,12,12,12,12
1326,12,,9,
1328,12,,12,
1331,8,,,
1332,14,9,0,
1334,11,7,8,10
1335,9,,,12
1337,9,11,12,
1338,17,13,12,
1341,19,14,14,18
1342,18,20,20,18
1344,19,16,13,19
1345,12,,11,14
1346,16,20,20,
1347,20,12,12,
1352,13,12,12,
1353,14,,13,
1356,13,12,,
1357,14,,12,
1361,13,20,20,
1363,17,12,16,16
1365,14,11,13,
1369,12,14,16,19
1371,18,14,14,13
1373,12,,12,13
1375,14,12,10,
1378,12,3,3,12
1380,13,12,14,14
1381,14,,13,
1387,12,3,8,
1389,10,,6,
1390,2,,,
1392,10,,,
1395,12,,,
1398,16,,8,
1399,12,,16,
1402,14,,10,12
1403,9,,14,
1404,15,16,12,
1405,12,,,
1406,18,8,8,
1407,16,15,12,
1409,12,,16,
1410,,,,
1412,18,16,15,
1413,12,12,12,12
1416,12,12,12,12
1417,17,16,14,18
1419,12,,,
1420,14,16,16,
1421,13,12,12,
1422,16,15,,14
1424,14,,13,13
1425,16,16,14,
1431,8,,11,
1432,10,8,10,12
1436,12,11,12,12
1439,13,10,11,
1440,11,8,8,12
1441,13,12,12,12
1442,16,,12,
1444,11,,,
1446,12,10,12,
1447,14,,,
1449,12,16,12,20
1450,14,9,9,14
1452,11,12,12,
1454,10,,12,13
1457,16,16,16,14
1459,12,12,12,13
1461,15,14,14,
1462,14,12,12,
1465,17,12,12,
1466,8,9,7,
1468,16,13,16,
1469,16,18,10,16
1470,17,20,16,
1472,16,12,12,19
1473,14,14,12,
1474,13,,8,
1478,12,12,12,
1479,16,16,8,10
1482,12,3,1,
1484,13,,,
1487,16,,,
1489,16,,14,
1490,14,14,12,
1491,14,10,12,13
1492,8,,5,
1495,9,,,
1497,11,,12,
1498,10,,11,
1499,10,,11,
1502,14,12,13,
1503,9,5,6,
1506,12,7,8,14
1507,16,10,9,
1508,10,,12,12
1510,12,12,12,12
